Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-09-15,The Shawshank Redemption,1994,,4,,"The film is really good, watch it, I have nothing more to say because it moved me?",,2024-09-14
2024-09-23,Fantastic Mr. Fox,2009,,5,,"Simply fantastic, I loved it, the colours, the music, the animation, the story, the characters - everything was just perfect.",,2024-09-23
2024-09-26,Inside Out 2,2024,,3.5,,I hate anxiety.,,2024-09-26
2024-10-17,The Northman,2022,,3.5,,"Muscular man in the nude fights in Iceland makes a warrior 😎 Nan is a really good revenge film, the shots are beautiful, the fights epic, I like the links with mythology.",,2024-10-16
2024-10-18,Little Women,2019,,4,,"I have to admit, the last 30 minutes made me love the film.",,2024-10-17
2024-10-21,Melancholia,2011,,1.5,,"basically, i didn't like the film, i'm sure it's lars von trier's masterpiece, but this shaky camera that moves h24 makes me puke (i only caught the still shots during the apocalypse scenes) and then the message, THE MESSAGE, no my reuf life is worth living, death is not liberation (in short I'm revolted, it will surely mature with time, but it's a really pessimistic and sick vision of life (not so surprising as he made the film after a depression)",,2024-10-21
2024-11-06,Interstellar,2014,,4.5,,MURRRPPPHHHHY  Second time I've seen the film of my life and at the cinema 😎 pure Banger nothing to add,,2024-11-05
2024-11-08,The Fall,2006,,5,,"I've got too much to say: -the colours -the actors -the little girl -the story -the sets -the costumes the powerful storytelling   I'm not afraid to say it, this film is a masterpiece (in short, watch it, it's too good).",,2024-11-07
2024-11-15,Anora,2024,,4,,"What can I say about this film? Very happy to have seen it at the cinema, the actors are really hypnotic The film literally makes you go through all the feelings, from laughter to the desire to fuck yourself in the air, it constantly juggles with the too much but it stays just right. I'm a bit confused really, but I think I really liked it.",,2024-11-14
2024-11-21,Gladiator II,2024,,3.5,,"In truth it's not so bad, clearly not as good as the first, and then the script ... Paul meschal in combat doesn't really work, he smiles all the time Clearly far from perfect, but not bad either.",,2024-11-20
2024-11-25,Flow,2024,,4,,But what a sweetness .…,,2024-11-25
2024-11-29,300,2006,,3.5,,This is Sparta,,2024-11-29
2024-12-13,We Live in Time,2024,,3.5,,My reputation as a nostalgic lover won't improve with this .…,,2024-12-12
2024-12-14,Golo & Ritchie,2024,,3.5,,"To confuse all the animals in the world what a pleasure to see mdrrrrr No, really, the documentary makes you smile, it's just beautiful.",,2024-12-13
2024-12-15,When We Were Kings,1996,,4,,what a man,,2024-12-15
2024-12-22,Inglourious Basterds,2009,,3,,I really have trouble with Tarantino,,2024-12-21
2024-12-26,Atlantis: The Lost Empire,2001,,4,,"I hesitated between seeing Carol again and seeing this one for a bit of Christmas magic, but in the end I watched this one and loved it, no respect for the universe, the story and the characters.",,2024-12-25
2024-12-31,Moonrise Kingdom,2012,,4.5,,Is Wes Anderson becoming my favourite real?,,2024-12-31
2025-02-13,Southpaw,2015,,3.5,,"Did you miss me? No ? Well, I've missed watching films  I'm a fan of seeing Jake box.",,2025-02-12
2025-02-15,The Notebook,2004,,3,,"So I watched it for Valentine's Day? Well...  No, on the other hand, the story is cool, but in romance films, it's pretty basic.",,2025-02-15
2025-02-27,Swiss Army Man,2016,,3,,Spiderman farting lol,,2025-02-26
2025-03-05,Maze Runner: The Death Cure,2018,,3,,"The script is a bit random, though",,2025-03-05
2025-03-07,The Lego Batman Movie,2017,,3.5,,"Alfred the real boss, real geek, I got all the refs",,2025-03-06
2025-03-09,Rango,2011,,3.5,,"I love water, in 20-30 years there won't be any left.",,2025-03-08
2025-03-24,Incendies,2010,,4,,"I just wanted to watch a chill film on a Sunday afternoon, but now I'm in trauma for the whole day.",,2025-03-23
2025-03-26,Captain America: Brave New World,2025,,2,,"So much wasted potential, I'm bored, it had all the makings of a good film, but some of the fights are soft (especially the down-to-earth ones, like just bare hands) and others you just can't believe. There was enough to make the snake as stylish as Bucky in Captain America 2. Otherwise there are some good surprises but I don't know, I don't really believe in them.",,2025-03-25
2025-04-04,Kingdom of Heaven,2005,,4,,"Orlondo bloom I'm at your disposal. The film is a bit long on some points, the love story is a bit rushed but the charisma of the actors, even the leper king, frankly the characters have a presence. I really like the story, the respect and the truth about religion that is conveyed throughout the film. In short, I'm not a film critic, but I really liked it.",,2025-04-04
2025-04-10,Mickey 17,2025,,3,,"Lol sex and vomit, yeah really funny but not incredible",,2025-04-10
2025-04-19,The Gorge,2025,,2.5,,"Well, half the film is too heavy-handed, that's good there.  On the other hand, the moment in the gorge is a really good idea, with interesting sets and enemies, but it should have been developed further, gone really crazy and made even more lively.",,2025-04-18
2025-04-21,The Summit of the Gods,2021,,4.5,,"No, quite frankly, it was magnificent, the French animation was great, the landscapes were magnificent, and the dubbing was very good. In short, a pure banger!",,2025-04-21
2025-04-24,The Taste of Others,2000,,3.5,,"Castella is me, no more bitter than me",,2025-04-23
2025-04-25,Conclave,2024,,4,,"And I really liked it, the colours, the sound, the story, not a bad film.",,2025-04-25
2025-04-26,Nobody,2021,,3.5,,Here's something for john wick to consider,,2025-04-25
2025-04-29,Havoc,2025,,3.5,,"Well, I've got to see The Raid, I really liked that one, gangs of London was incredible, so I've really got to see The Raid.",,2025-04-28
2025-05-03,Thunderbolts*,2025,,3.5,,"Here's to Marvel at last! Well, there are flaws but it's still better than the last crap. The stakes are down-to-earth and human + the villain is stylish.",,2025-05-02
2025-05-11,A Working Man,2025,,0.5,,"MDRRRR ho le filmmm de connnnn Même chat GPT écrit mieux ses scénars. The editing, the music, the characters, the story, the reactions: everything was catastrophic mdrrrrrr The only thing that made me laugh: I haven't seen such a big moon in a film since Melancholia.",,2025-05-10
2025-05-16,Wind River,2017,,3.5,,"The film is really good, I liked the plot even if it's not the investigation of the century to solve but I don't know, it's not surreal, it's just right. The actors are good, except for the music, which I found a bit lame.",,2025-05-16
2025-06-04,The Departed,2006,,4,,"Well, nothing to complain about",,2025-06-04
2025-06-07,The Sisters Brothers,2018,,2.5,,"It's good, the actors are good, but there were too many scenes that I personally didn't enjoy.",,2025-06-07
2025-06-15,Long Way North,2015,,4,,"Ptn but the French are so good at animation, what a film 🤌🤌  What sweetness and happiness for the eyes  Wonderful",,2025-06-14
2025-06-18,"Cocaine Air: Smugglers at 30,000 Ft.",2025,,,,The doc is lunar mdrrrr gg to the editors,,2025-06-18
2025-06-29,Burn After Reading,2008,,3.5,,"I really need to watch more Coen brothers. It was funny, and the characters ridiculous but touching. Brad Pitt is really strong, and so are the other actors. No, really, a really nice moment.",,2025-06-28
